"";"codigo_cofog";"descricao_cofog";"total_gasto"
"1";"701";"Serviços públicos gerais";873656693417,04
"2";"702";"Defesa";51365345786,7162
"3";"703";"Ordem pública e segurança";82599629644,7231
"4";"704";"Assuntos econômicos";99329036831,4079
"5";"705";"Proteção ambiental";6732401344,53799
"6";"706";"Habitação e serviços comunitários";9135081965,09775
"7";"707";"Saúde";153325360972,43
"8";"708";"Lazer, cultura e religião";3972753988,07844
"9";"709";"Educação";166204448255,273
"10";"710";"Proteção social";938185461637,61
